Name of Account, Dollar Value in Millions, Date (yymmdd)
"IRS Tax Refunds Business",27,121123
"IRS Tax Refunds Individual",2,121123
"Justice Department programs",97,121123
"Labor Dept. prgms",78,121123
"Medicaid",688,121123
"Medicare",1408,121123
"NASA programs",63,121123
"Postal Service Money Orders and Other",131,121123
"Public Debt Cash Redemp.",100557,121123
"Social Security Benefits",1,121123
"Supple. Nutrition Assist. Program",3,121123
"Transportation Security Admin.",1,121123
"Unemployment Insurance Benefits",150,121123
"Veterans Affairs programs",179,121123
"Emergency Prep &",134,121123
"Federal Crop Ins. Corp.",148,121123
"Unclassified",1379,121123
"Total, Other Withdrawals",1872,121123
"Transfers to Depositaries",0,121123
"Commodity Credit Corporation programs",137,121121
"Defense Vendor Payments",1489,121121
"Education Department programs",582,121121
"Energy Department programs",161,121121
"Federal Employees Insurance Payments",819,121121
"Fed. Highway Administration programs",9,121121
"Federal Salaries",149,121121
"Food and Nutrition Service",437,121121
"GSA programs",50,121121
"Health and Human Services Grants",489,121121
"Housing and Urban Development programs",182,121121
"Interest on Treasury Securities",1,121121
"IRS Tax Refunds Business",126,121121
"IRS Tax Refunds Individual",253,121121
"Justice Department programs",77,121121
"Labor Dept. prgms",60,121121
"Medicaid",649,121121
"Medicare",1905,121121
"NASA programs",203,121121
"Postal Service Money Orders and Other",94,121121
"Public Debt Cash Redemp.",878,121121
"Social Security Benefits",10938,121121
"Supple. Nutrition Assist. Program",30,121121
"Transportation Security Admin.",1,121121
"Unemployment Insurance Benefits",405,121121
"Veterans Affairs programs",138,121121
"Emergency Prep &",95,121121
"Federal Crop Ins. Corp.",186,121121
"Unclassified",1224,121121
"Total, Other Withdrawals",1593,121121
"Transfers to Depositaries",0,121121
"Commodity Credit Corporation programs",138,121120
"Defense Vendor Payments",1778,121120
"Education Department programs",618,121120
"Energy Department programs",146,121120
"Federal Employees Insurance Payments",276,121120
"Fed. Highway Administration programs",111,121120
"Federal Salaries",136,121120
"Food and Nutrition Service",497,121120
"GSA programs",43,121120
"Health and Human Services Grants",381,121120
"Housing and Urban Development programs",204,121120
"Interest on Treasury Securities",1,121120
"IRS Tax Refunds Business",172,121120
"IRS Tax Refunds Individual",35,121120
"Justice Department programs",71,121120
"Labor Dept. prgms",38,121120
"Medicaid",961,121120
"Medicare",1708,121120
"NASA programs",132,121120
"Postal Service Money Orders and Other",114,121120
"Public Debt Cash Redemp.",851,121120
"Social Security Benefits",1,121120
"Supple. Nutrition Assist. Program",31,121120
"Transportation Security Admin.",1,121120
"Unemployment Insurance Benefits",468,121120
"Veterans Affairs programs",168,121120
"Emergency Prep &",97,121120
"Federal Crop Ins. Corp.",154,121120
"Federal Financing Bank",78,121120
"Unclassified",1278,121120
"Total, Other Withdrawals",2618,121120
"Transfers to Depositaries",0,121120
"Commodity Credit Corporation programs",99,121119
"Defense Vendor Payments",2027,121119
"Education Department programs",610,121119
"Energy Department programs",110,121119
"Federal Employees Insurance Payments",260,121119
"Fed. Highway Administration programs",233,121119
"Federal Salaries",76,121119
"Food and Nutrition Service",761,121119
"GSA programs",58,121119
"Health and Human Services Grants",322,121119
"Housing and Urban Development programs",333,121119
"Interest on Treasury Securities",1,121119
"IRS Tax Refunds Business",4,121119
"IRS Tax Refunds Individual",19,121119
"Justice Department programs",43,121119
"Labor Dept. prgms",55,121119
"Medicaid",488,121119
"Medicare",1638,121119
"NASA programs",29,121119
"Postal Service Money Orders and Other",172,121119
"Public Debt Cash Redemp.",1345,121119
"Social Security Benefits",41,121119
"Supple. Nutrition Assist. Program",20,121119
"Transportation Security Admin.",1,121119
"Unemployment Insurance Benefits",234,121119
"Veterans Affairs programs",165,121119
"Emergency Prep &",134,121119
"Federal Crop Ins. Corp.",202,121119
"Federal Financing Bank",90,121119
"Treasury Department programs",54,121119
"Unclassified",1495,121119
"Total, Other Withdrawals",2255,121119
"Transfers to Depositaries",0,121119
"Commodity Credit Corporation programs",102,121116
"Defense Vendor Payments",1666,121116
"Education Department programs",583,121116
"Energy Department programs",222,121116
"Federal Employees Insurance Payments",179,121116
"Fed. Highway Administration programs",238,121116
"Federal Salaries",91,121116
"Food and Nutrition Service",354,121116
"GSA programs",63,121116
"Health and Human Services Grants",401,121116
"Housing and Urban Development programs",207,121116
"Interest on Treasury Securities",1,121116
"IRS Tax Refunds Business",5,121116
"IRS Tax Refunds Individual",13,121116
"Justice Department programs",105,121116
"Labor Dept. prgms",179,121116
"Medicaid",1158,121116
"Medicare",1402,121116
"NASA programs",47,121116
"Postal Service Money Orders and Other",140,121116
"Public Debt Cash Redemp.",918,121116
"Social Security Benefits",51,121116
"Supple. Nutrition Assist. Program",21,121116
"Transportation Security Admin.",1,121116
"Unemployment Insurance Benefits",157,121116
"Veterans Affairs programs",138,121116
"Emergency Prep &",146,121116
"Federal Crop Ins. Corp.",250,121116
"Unclassified",1270,121116
"Total, Other Withdrawals",1723,121116
"Transfers to Depositaries",0,121116
"Commodity Credit Corporation programs",99,121115
"Defense Vendor Payments",1195,121115
"Education Department programs",543,121115
"Energy Department programs",159,121115
"Federal Employees Insurance Payments",245,121115
"Fed. Highway Administration programs",188,121115
"Federal Salaries",943,121115
"Food and Nutrition Service",412,121115
"GSA programs",79,121115
"Health and Human Services Grants",423,121115
"Housing and Urban Development programs",217,121115
"Interest on Treasury Securities",29913,121115
"IRS Tax Refunds Business",4,121115
"IRS Tax Refunds Individual",296,121115
"Justice Department programs",37,121115
"Labor Dept. prgms",62,121115
"Medicaid",2260,121115
"Medicare",1335,121115
"NASA programs",94,121115
"Postal Service Money Orders and Other",142,121115
"Public Debt Cash Redemp.",196379,121115
"Social Security Benefits",36,121115
"Supple. Nutrition Assist. Program",17,121115
"Transportation Security Admin.",1,121115
"Unemployment Insurance Benefits",354,121115
"Veterans Affairs programs",142,121115
"Emergency Prep &",95,121115
"Federal Crop Ins. Corp.",142,121115
"Military Active Duty Pay",2849,121115
"Treasury Department programs",82,121115
"Unclassified",1181,121115
"Total, Other Withdrawals",4584,121115
"Transfers to Depositaries",0,121115
"Commodity Credit Corporation programs",122,121114
"Defense Vendor Payments",1752,121114
"Education Department programs",625,121114
"Energy Department programs",143,121114
"Federal Employees Insurance Payments",262,121114
"Fed. Highway Administration programs",190,121114
"Federal Salaries",95,121114
"Food and Nutrition Service",376,121114
"GSA programs",81,121114
"Health and Human Services Grants",637,121114
"Housing and Urban Development programs",393,121114
"Interest on Treasury Securities",1,121114
"IRS Tax Refunds Business",669,121114
"IRS Tax Refunds Individual",16,121114
"Justice Department programs",55,121114
"Labor Dept. prgms",58,121114
"Medicaid",1043,121114
"Medicare",1957,121114
"NASA programs",139,121114
"Postal Service Money Orders and Other",184,121114
"Public Debt Cash Redemp.",847,121114
"Social Security Benefits",11159,121114
"Supple. Nutrition Assist. Program",35,121114
"Transportation Security Admin.",1,121114
"Unemployment Insurance Benefits",527,121114
"Veterans Affairs programs",164,121114
"Emergency Prep &",134,121114
"Federal Crop Ins. Corp.",158,121114
"Unclassified",993,121114
"Total, Other Withdrawals",1623,121114
"Transfers to Depositaries",0,121114
"Commodity Credit Corporation programs",123,121113
"Defense Vendor Payments",1521,121113
"Education Department programs",728,121113
"Energy Department programs",76,121113
"Federal Employees Insurance Payments",408,121113
"Fed. Highway Administration programs",158,121113
"Federal Salaries",1784,121113
"Food and Nutrition Service",1401,121113
"GSA programs",52,121113
"Health and Human Services Grants",384,121113
"Housing and Urban Development programs",173,121113
"Interest on Treasury Securities",2,121113
"IRS Tax Refunds Business",31,121113
"IRS Tax Refunds Individual",20,121113
"Justice Department programs",113,121113
"Labor Dept. prgms",43,121113
"Medicaid",1156,121113
"Medicare",1543,121113
"NASA programs",29,121113
"Postal Service Money Orders and Other",281,121113
"Public Debt Cash Redemp.",977,121113
"Social Security Benefits",40,121113
"Supple. Nutrition Assist. Program",26,121113
"Transportation Security Admin.",1,121113
"Unemployment Insurance Benefits",302,121113
"Veterans Affairs programs",194,121113
"Emergency Prep &",85,121113
"Federal Crop Ins. Corp.",154,121113
"Treasury Department programs",57,121113
"Unclassified",1436,121113
"Total, Other Withdrawals",1925,121113
"Transfers to Depositaries",0,121113
"Commodity Credit Corporation programs",100,121109
"Defense Vendor Payments",1420,121109
"Education Department programs",450,121109
"Energy Department programs",173,121109
"Federal Employees Insurance Payments",443,121109
"Fed. Highway Administration programs",102,121109
"Federal Salaries",3090,121109
"Food and Nutrition Service",414,121109
"GSA programs",40,121109
"Health and Human Services Grants",388,121109
"Housing and Urban Development programs",201,121109
"Interest on Treasury Securities",1,121109
"IRS Tax Refunds Business",50,121109
"IRS Tax Refunds Individual",29,121109
"Justice Department programs",119,121109
"Labor Dept. prgms",58,121109
"Medicaid",1045,121109
"Medicare",1270,121109
"NASA programs",74,121109
"Postal Service Money Orders and Other",154,121109
"Public Debt Cash Redemp.",1136,121109
"Social Security Benefits",46,121109
"Supple. Nutrition Assist. Program",8,121109
"Transportation Security Admin.",1,121109
"Unemployment Insurance Benefits",130,121109
"Veterans Affairs programs",156,121109
"Emergency Prep &",65,121109
"Federal Crop Ins. Corp.",281,121109
"Unclassified",919,121109
"Total, Other Withdrawals",1556,121109
"Transfers to Depositaries",0,121109
"Commodity Credit Corporation programs",130,121108
"Defense Vendor Payments",1440,121108
"Education Department programs",633,121108
"Energy Department programs",133,121108
"Federal Employees Insurance Payments",463,121108
"Fed. Highway Administration programs",300,121108
"Federal Salaries",97,121108
"Food and Nutrition Service",380,121108
"GSA programs",74,121108
"Health and Human Services Grants",333,121108
"Housing and Urban Development programs",142,121108
"Interest on Treasury Securities",1,121108
"IRS Tax Refunds Business",10,121108
"IRS Tax Refunds Individual",18,121108
"Justice Department programs",65,121108
"Labor Dept. prgms",75,121108
"Medicaid",1292,121108
"Medicare",1299,121108
"NASA programs",79,121108
"Postal Service Money Orders and Other",136,121108
"Public Debt Cash Redemp.",101229,121108
"Social Security Benefits",55,121108
"Supple. Nutrition Assist. Program",17,121108
"Transportation Security Admin.",1,121108
"Unemployment Insurance Benefits",243,121108
"Veterans Affairs programs",151,121108
"Emergency Prep &",146,121108
"Federal Crop Ins. Corp.",208,121108
"Unclassified",1179,121108
"Total, Other Withdrawals",1689,121108
"Transfers to Depositaries",0,121108
"Commodity Credit Corporation programs",150,121107
"Defense Vendor Payments",1060,121107
"Education Department programs",418,121107
"Energy Department programs",84,121107
"Federal Employees Insurance Payments",244,121107
"Fed. Highway Administration programs",149,121107
"Federal Salaries",85,121107
"Food and Nutrition Service",396,121107
"GSA programs",42,121107
"Health and Human Services Grants",298,121107
"Housing and Urban Development programs",183,121107
"Interest on Treasury Securities",1,121107
"IRS Tax Refunds Business",28,121107
"IRS Tax Refunds Individual",397,121107
"Justice Department programs",62,121107
"Labor Dept. prgms",34,121107
"Medicaid",1500,121107
"Medicare",1460,121107
"NASA programs",49,121107
"Postal Service Money Orders and Other",134,121107
"Public Debt Cash Redemp.",803,121107
"Social Security Benefits",40,121107
"Supple. Nutrition Assist. Program",4,121107
"Transportation Security Admin.",1,121107
"Unemployment Insurance Benefits",350,121107
"Veterans Affairs programs",199,121107
"Emergency Prep &",109,121107
"Federal Crop Ins. Corp.",80,121107
"Federal Financing Bank",58,121107
"Unclassified",1447,121107
"Total, Other Withdrawals",1719,121107
"Transfers to Depositaries",0,121107
"Commodity Credit Corporation programs",91,121106
"Defense Vendor Payments",1324,121106
"Education Department programs",503,121106
"Energy Department programs",96,121106
"Federal Employees Insurance Payments",235,121106
"Fed. Highway Administration programs",123,121106
"Federal Salaries",80,121106
"Food and Nutrition Service",427,121106
"GSA programs",46,121106
"Health and Human Services Grants",328,121106
"Housing and Urban Development programs",187,121106
"Interest on Treasury Securities",2,121106
"IRS Tax Refunds Business",266,121106
"IRS Tax Refunds Individual",20,121106
"Justice Department programs",55,121106
"Labor Dept. prgms",30,121106
"Medicaid",1210,121106
"Medicare",1232,121106
"NASA programs",84,121106
"Postal Service Money Orders and Other",173,121106
"Public Debt Cash Redemp.",898,121106
"Social Security Benefits",26,121106
"Supple. Nutrition Assist. Program",17,121106
"Transportation Security Admin.",1,121106
"Unemployment Insurance Benefits",430,121106
"Veterans Affairs programs",274,121106
"Emergency Prep &",63,121106
"Federal Crop Ins. Corp.",175,121106
"Federal Financing Bank",55,121106
"Treasury Department programs",115,121106
"Veterans Benefits",59,121106
"Unclassified",1685,121106
"Total, Other Withdrawals",2472,121106
"Transfers to Depositaries",0,121106
"Commodity Credit Corporation programs",120,121105
"Defense Vendor Payments",1990,121105
"Education Department programs",507,121105
"Energy Department programs",69,121105
"Federal Employees Insurance Payments",243,121105
"Fed. Highway Administration programs",82,121105
"Federal Salaries",78,121105
"Food and Nutrition Service",759,121105
"GSA programs",38,121105
"Health and Human Services Grants",274,121105
"Housing and Urban Development programs",234,121105
"Interest on Treasury Securities",1,121105
"IRS Tax Refunds Business",53,121105
"IRS Tax Refunds Individual",29,121105
"Justice Department programs",279,121105
"Labor Dept. prgms",28,121105
"Medicaid",743,121105
"Medicare",1326,121105
"NASA programs",31,121105
"Postal Service Money Orders and Other",192,121105
"Public Debt Cash Redemp.",840,121105
"Social Security Benefits",31,121105
"Supple. Nutrition Assist. Program",6,121105
"Transportation Security Admin.",2,121105
"Unemployment Insurance Benefits",238,121105
"Veterans Affairs programs",173,121105
"Federal Crop Ins. Corp.",50,121105
"Unclassified",1635,121105
"Total, Other Withdrawals",3134,121105
"Transfers to Depositaries",0,121105
"Commodity Credit Corporation programs",100,121102
"Defense Vendor Payments",382,121102
"Education Department programs",551,121102
"Energy Department programs",136,121102
"Federal Employees Insurance Payments",177,121102
"Fed. Highway Administration programs",248,121102
"Federal Salaries",374,121102
"Food and Nutrition Service",214,121102
"GSA programs",92,121102
"Health and Human Services Grants",266,121102
"Housing and Urban Development programs",373,121102
"Interest on Treasury Securities",1,121102
"IRS Tax Refunds Business",48,121102
"IRS Tax Refunds Individual",13,121102
"Justice Department programs",112,121102
"Labor Dept. prgms",44,121102
"Medicaid",367,121102
"Medicare",1174,121102
"NASA programs",107,121102
"Postal Service Money Orders and Other",124,121102
"Public Debt Cash Redemp.",931,121102
"Social Security Benefits",23288,121102
"Supple. Nutrition Assist. Program",10,121102
"Transportation Security Admin.",0,121102
"Unemployment Insurance Benefits",121,121102
"Veterans Affairs programs",130,121102
"Federal Crop Ins. Corp.",76,121102
"Federal Financing Bank",253,121102
"Supple. Security Income Benefits",75,121102
"Treasury Department programs",81,121102
"Unclassified",1180,121102
"Total, Other Withdrawals",3129,121102
"Transfers to Depositaries",0,121102
"Commodity Credit Corporation programs",132,121101
"Defense Vendor Payments",1281,121101
"Education Department programs",525,121101
"Energy Department programs",157,121101
"Federal Employees Insurance Payments",244,121101
"Fed. Highway Administration programs",202,121101
"Federal Salaries",1170,121101
"Food and Nutrition Service",158,121101
"GSA programs",507,121101
"Health and Human Services Grants",345,121101
"Housing and Urban Development programs",2576,121101
"Interest on Treasury Securities",147,121101
"IRS Tax Refunds Business",44,121101
"IRS Tax Refunds Individual",23,121101
"Justice Department programs",33,121101
"Labor Dept. prgms",73,121101
"Medicaid",945,121101
"Medicare",17266,121101
"NASA programs",0,121101
"Postal Service Money Orders and Other",108,121101
"Public Debt Cash Redemp.",105678,121101
"Social Security Benefits",386,121101
"Supple. Nutrition Assist. Program",39,121101
"Transportation Security Admin.",0,121101
"Unemployment Insurance Benefits",202,121101
"Veterans Affairs programs",588,121101
"Civil Service Retirement",4900,121101
"Emergency Prep &",51,121101
"Federal Crop Ins. Corp.",121,121101
"Military Active Duty Pay",3864,121101
"Military Retirement",3960,121101
"Railroad Retirement",960,121101
"Supple. Security Income Benefits",3558,121101
"Veterans Benefits",4303,121101
"Unclassified",599,121101
"Total, Other Withdrawals",23249,121101
"Transfers to Depositaries",0,121101
"Commodity Credit Corporation programs",72,121031
"Defense Vendor Payments",972,121031
"Education Department programs",529,121031
"Energy Department programs",293,121031
"Federal Employees Insurance Payments",388,121031
"Fed. Highway Administration programs",121,121031
"Federal Salaries",100,121031
"Food and Nutrition Service",161,121031
"GSA programs",39,121031
"Health and Human Services Grants",552,121031
"Housing and Urban Development programs",66,121031
"Interest on Treasury Securities",6033,121031
"IRS Tax Refunds Business",1,121031
"IRS Tax Refunds Individual",1415,121031
"Justice Department programs",9,121031
"Labor Dept. prgms",23,121031
"Medicaid",114,121031
"Medicare",1347,121031
"NASA programs",0,121031
"Postal Service Money Orders and Other",288,121031
"Public Debt Cash Redemp.",52100,121031
"Social Security Benefits",0,121031
"Supple. Nutrition Assist. Program",15,121031
"Transportation Security Admin.",1,121031
"Unemployment Insurance Benefits",309,121031
"Veterans Affairs programs",184,121031
"Emergency Prep &",62,121031
"Federal Financing Bank",83,121031
"Unclassified",714,121031
"Total, Other Withdrawals",506,121031
"Transfers to Depositaries",0,121031
"Commodity Credit Corporation programs",101,121030
"Defense Vendor Payments",1632,121030
"Education Department programs",681,121030
"Energy Department programs",132,121030
"Federal Employees Insurance Payments",71,121030
"Fed. Highway Administration programs",149,121030
"Federal Salaries",430,121030
"Food and Nutrition Service",155,121030
"GSA programs",90,121030
"Health and Human Services Grants",614,121030
"Housing and Urban Development programs",151,121030
"Interest on Treasury Securities",1,121030
"IRS Tax Refunds Business",139,121030
"IRS Tax Refunds Individual",157,121030
"Justice Department programs",25,121030
"Labor Dept. prgms",71,121030
"Medicaid",1715,121030
"Medicare",1765,121030
"NASA programs",0,121030
"Postal Service Money Orders and Other",121,121030
"Public Debt Cash Redemp.",793,121030
"Social Security Benefits",1,121030
"Supple. Nutrition Assist. Program",16,121030
"Transportation Security Admin.",0,121030
"Unemployment Insurance Benefits",451,121030
"Veterans Affairs programs",170,121030
"Federal Crop Ins. Corp.",130,121030
"Unclassified",624,121030
"Total, Other Withdrawals",1267,121030
"Transfers to Depositaries",0,121030
"Commodity Credit Corporation programs",90,121029
"Defense Vendor Payments",1617,121029
"Education Department programs",817,121029
"Energy Department programs",93,121029
"Federal Employees Insurance Payments",149,121029
"Fed. Highway Administration programs",171,121029
"Federal Salaries",1425,121029
"Food and Nutrition Service",404,121029
"GSA programs",48,121029
"Health and Human Services Grants",491,121029
"Housing and Urban Development programs",159,121029
"Interest on Treasury Securities",1,121029
"IRS Tax Refunds Business",51,121029
"IRS Tax Refunds Individual",148,121029
"Justice Department programs",52,121029
"Labor Dept. prgms",34,121029
"Medicaid",511,121029
"Medicare",1385,121029
"NASA programs",80,121029
"Postal Service Money Orders and Other",256,121029
"Public Debt Cash Redemp.",809,121029
"Social Security Benefits",1,121029
"Supple. Nutrition Assist. Program",12,121029
"Transportation Security Admin.",1,121029
"Unemployment Insurance Benefits",247,121029
"Veterans Affairs programs",280,121029
"Federal Crop Ins. Corp.",79,121029
"Unclassified",1290,121029
"Total, Other Withdrawals",1998,121029
"Transfers to Depositaries",0,121029
"Commodity Credit Corporation programs",127,121026
"Defense Vendor Payments",1532,121026
"Education Department programs",660,121026
"Energy Department programs",241,121026
"Federal Employees Insurance Payments",165,121026
"Fed. Highway Administration programs",422,121026
"Federal Salaries",3163,121026
"Food and Nutrition Service",266,121026
"GSA programs",55,121026
"Health and Human Services Grants",368,121026
"Housing and Urban Development programs",191,121026
"Interest on Treasury Securities",2,121026
"IRS Tax Refunds Business",32,121026
"IRS Tax Refunds Individual",47,121026
"Justice Department programs",43,121026
"Labor Dept. prgms",77,121026
"Medicaid",500,121026
"Medicare",1547,121026
"NASA programs",88,121026
"Postal Service Money Orders and Other",122,121026
"Public Debt Cash Redemp.",824,121026
"Social Security Benefits",1,121026
"Supple. Nutrition Assist. Program",23,121026
"Transportation Security Admin.",1,121026
"Unemployment Insurance Benefits",121,121026
"Veterans Affairs programs",142,121026
"Emergency Prep &",63,121026
"Federal Crop Ins. Corp.",68,121026
"Veterans Benefits",85,121026
"Unclassified",745,121026
"Total, Other Withdrawals",1655,121026
"Transfers to Depositaries",0,121026
"Commodity Credit Corporation programs",114,121025
"Defense Vendor Payments",1745,121025
"Education Department programs",667,121025
"Energy Department programs",159,121025
"Federal Employees Insurance Payments",714,121025
"Fed. Highway Administration programs",182,121025
"Federal Salaries",145,121025
"Food and Nutrition Service",171,121025
"GSA programs",32,121025
"Health and Human Services Grants",484,121025
"Housing and Urban Development programs",159,121025
"Interest on Treasury Securities",0,121025
"IRS Tax Refunds Business",514,121025
"IRS Tax Refunds Individual",43,121025
"Justice Department programs",79,121025
"Labor Dept. prgms",112,121025
"Medicaid",2155,121025
"Medicare",1596,121025
"NASA programs",144,121025
"Postal Service Money Orders and Other",107,121025
"Public Debt Cash Redemp.",99216,121025
"Social Security Benefits",0,121025
"Supple. Nutrition Assist. Program",16,121025
"Transportation Security Admin.",1,121025
"Unemployment Insurance Benefits",206,121025
"Veterans Affairs programs",198,121025
"Federal Crop Ins. Corp.",117,121025
"Unclassified",645,121025
"Total, Other Withdrawals",3468,121025
"Transfers to Depositaries",0,121025
"Commodity Credit Corporation programs",81,121024
"Defense Vendor Payments",1766,121024
"Education Department programs",747,121024
"Energy Department programs",111,121024
"Federal Employees Insurance Payments",522,121024
"Fed. Highway Administration programs",206,121024
"Federal Salaries",97,121024
"Food and Nutrition Service",310,121024
"GSA programs",109,121024
"Health and Human Services Grants",263,121024
"Housing and Urban Development programs",172,121024
"Interest on Treasury Securities",1,121024
"IRS Tax Refunds Business",55,121024
"IRS Tax Refunds Individual",997,121024
"Justice Department programs",48,121024
"Labor Dept. prgms",49,121024
"Medicaid",571,121024
"Medicare",2237,121024
"NASA programs",88,121024
"Postal Service Money Orders and Other",101,121024
"Public Debt Cash Redemp.",800,121024
"Social Security Benefits",11100,121024
"Supple. Nutrition Assist. Program",4,121024
"Transportation Security Admin.",1,121024
"Unemployment Insurance Benefits",339,121024
"Veterans Affairs programs",160,121024
"Federal Crop Ins. Corp.",64,121024
"Unclassified",881,121024
"Total, Other Withdrawals",1126,121024
"Transfers to Depositaries",0,121024
"Commodity Credit Corporation programs",109,121023
"Defense Vendor Payments",1906,121023
"Education Department programs",699,121023
"Energy Department programs",150,121023
"Federal Employees Insurance Payments",295,121023
"Fed. Highway Administration programs",215,121023
"Federal Salaries",79,121023
"Food and Nutrition Service",221,121023
"GSA programs",108,121023
"Health and Human Services Grants",288,121023
"Housing and Urban Development programs",177,121023
"Interest on Treasury Securities",1,121023
"IRS Tax Refunds Business",228,121023
"IRS Tax Refunds Individual",159,121023
"Justice Department programs",61,121023
"Labor Dept. prgms",45,121023
"Medicaid",905,121023
"Medicare",1520,121023
"NASA programs",62,121023
"Postal Service Money Orders and Other",127,121023
"Public Debt Cash Redemp.",806,121023
"Social Security Benefits",41,121023
"Supple. Nutrition Assist. Program",4,121023
"Transportation Security Admin.",1,121023
"Unemployment Insurance Benefits",441,121023
"Veterans Affairs programs",199,121023
"Emergency Prep &",63,121023
"Federal Crop Ins. Corp.",73,121023
"Treasury Department programs",131,121023
"Unclassified",1003,121023
"Total, Other Withdrawals",1823,121023
"Transfers to Depositaries",0,121023
"Commodity Credit Corporation programs",113,121022
"Defense Vendor Payments",1582,121022
"Education Department programs",849,121022
"Energy Department programs",92,121022
"Federal Employees Insurance Payments",254,121022
"Fed. Highway Administration programs",105,121022
"Federal Salaries",78,121022
"Food and Nutrition Service",634,121022
"GSA programs",88,121022
"Health and Human Services Grants",298,121022
"Housing and Urban Development programs",152,121022
"Interest on Treasury Securities",1,121022
"IRS Tax Refunds Business",169,121022
"IRS Tax Refunds Individual",137,121022
"Justice Department programs",53,121022
"Labor Dept. prgms",32,121022
"Medicaid",403,121022
"Medicare",1515,121022
"NASA programs",66,121022
"Postal Service Money Orders and Other",156,121022
"Public Debt Cash Redemp.",923,121022
"Social Security Benefits",35,121022
"Supple. Nutrition Assist. Program",3,121022
"Transportation Security Admin.",1,121022
"Unemployment Insurance Benefits",225,121022
"Veterans Affairs programs",179,121022
"Federal Crop Ins. Corp.",64,121022
"Treasury Department programs",134,121022
"Unclassified",1134,121022
"Total, Other Withdrawals",2547,121022
"Transfers to Depositaries",0,121022
"Commodity Credit Corporation programs",83,121019
"Defense Vendor Payments",1724,121019
"Education Department programs",671,121019
"Energy Department programs",142,121019
"Federal Employees Insurance Payments",158,121019
"Fed. Highway Administration programs",209,121019
"Federal Salaries",126,121019
"Food and Nutrition Service",304,121019
"GSA programs",21,121019
"Health and Human Services Grants",329,121019
"Housing and Urban Development programs",153,121019
"Interest on Treasury Securities",1,121019
"IRS Tax Refunds Business",395,121019
"IRS Tax Refunds Individual",37,121019
"Justice Department programs",43,121019
"Labor Dept. prgms",115,121019
"Medicaid",734,121019
"Medicare",1488,121019
"NASA programs",54,121019
"Postal Service Money Orders and Other",136,121019
"Public Debt Cash Redemp.",935,121019
"Social Security Benefits",41,121019
"Supple. Nutrition Assist. Program",12,121019
"Transportation Security Admin.",1,121019
"Unemployment Insurance Benefits",126,121019
"Veterans Affairs programs",174,121019
"Federal Crop Ins. Corp.",94,121019
"Unclassified",1418,121019
"Total, Other Withdrawals",3882,121019
"Transfers to Depositaries",0,121019
"Commodity Credit Corporation programs",132,121018
"Defense Vendor Payments",1700,121018
"Education Department programs",657,121018
"Energy Department programs",188,121018
"Federal Employees Insurance Payments",158,121018
"Fed. Highway Administration programs",302,121018
"Federal Salaries",826,121018
"Food and Nutrition Service",325,121018
"GSA programs",57,121018
"Health and Human Services Grants",305,121018
"Housing and Urban Development programs",118,121018
"Interest on Treasury Securities",0,121018
"IRS Tax Refunds Business",1,121018
"IRS Tax Refunds Individual",51,121018
"Justice Department programs",139,121018
"Labor Dept. prgms",73,121018
"Medicaid",1818,121018
"Medicare",1350,121018
"NASA programs",95,121018
"Postal Service Money Orders and Other",112,121018
"Public Debt Cash Redemp.",124328,121018
"Social Security Benefits",41,121018
"Supple. Nutrition Assist. Program",12,121018
"Transportation Security Admin.",1,121018
"Unemployment Insurance Benefits",233,121018
"Veterans Affairs programs",155,121018
"Emergency Prep &",79,121018
"Federal Crop Ins. Corp.",75,121018
"Unclassified",900,121018
"Total, Other Withdrawals",1744,121018
"Transfers to Depositaries",0,121018
"Commodity Credit Corporation programs",115,121017
"Defense Vendor Payments",1278,121017
"Education Department programs",635,121017
"Energy Department programs",89,121017
"Federal Employees Insurance Payments",298,121017
"Fed. Highway Administration programs",142,121017
"Federal Salaries",90,121017
"Food and Nutrition Service",409,121017
"GSA programs",54,121017
"Health and Human Services Grants",284,121017
"Housing and Urban Development programs",142,121017
"Interest on Treasury Securities",2,121017
"IRS Tax Refunds Business",261,121017
"IRS Tax Refunds Individual",447,121017
"Justice Department programs",47,121017
"Labor Dept. prgms",39,121017
"Medicaid",1043,121017
"Medicare",1549,121017
"NASA programs",65,121017
"Postal Service Money Orders and Other",118,121017
"Public Debt Cash Redemp.",1325,121017
"Social Security Benefits",10907,121017
"Supple. Nutrition Assist. Program",4,121017
"Transportation Security Admin.",1,121017
"Unemployment Insurance Benefits",303,121017
"Veterans Affairs programs",126,121017
"Emergency Prep &",53,121017
"Federal Crop Ins. Corp.",64,121017
"Unclassified",1070,121017
"Total, Other Withdrawals",1579,121017
"Transfers to Depositaries",0,121017
"Commodity Credit Corporation programs",156,121016
"Defense Vendor Payments",1940,121016
"Education Department programs",660,121016
"Energy Department programs",122,121016
"Federal Employees Insurance Payments",223,121016
"Fed. Highway Administration programs",354,121016
"Federal Salaries",396,121016
"Food and Nutrition Service",444,121016
"GSA programs",55,121016
"Health and Human Services Grants",220,121016
"Housing and Urban Development programs",160,121016
"Interest on Treasury Securities",1,121016
"IRS Tax Refunds Business",258,121016
"IRS Tax Refunds Individual",45,121016
"Justice Department programs",68,121016
"Labor Dept. prgms",40,121016
"Medicaid",652,121016
"Medicare",1325,121016
"NASA programs",50,121016
"Postal Service Money Orders and Other",170,121016
"Public Debt Cash Redemp.",822,121016
